x,y,color_group
1.1580000000,0.7200000000,2.0000000000
1.2740000000,0.7200000000,2.0000000000
1.3900000000,0.7200000000,2.0000000000
0.9520000000,0.4800000000,2.0000000000
0.9770692000,0.5173702400,2.0000000000
1.0325000000,0.6000000000,2.0000000000
1.0879308000,0.6826297600,2.0000000000
0.6550692000,0.0373702400,2.0000000000
0.7105000000,0.1200000000,2.0000000000
0.7659308000,0.2026297600,2.0000000000
0.4940692000,-0.2026297600,2.0000000000
0.5495000000,-0.1200000000,2.0000000000
0.6049308000,-0.0373702400,2.0000000000
0.3330692000,-0.4426297600,2.0000000000
0.3885000000,-0.3600000000,2.0000000000
0.4439308000,-0.2773702400,2.0000000000
0.7910000000,-0.7200000000,2.0000000000
0.8160692000,-0.6826297600,2.0000000000
0.8715000000,-0.6000000000,2.0000000000
0.9269308000,-0.5173702400,2.0000000000
0.9770692000,-0.4426297600,2.0000000000
1.0325000000,-0.3600000000,2.0000000000
1.0879308000,-0.2773702400,2.0000000000
1.2740000000,0.0000000000,2.0000000000
1.2990692000,0.0373702400,2.0000000000
1.3670346000,0.1386851200,2.0000000000
1.4350000000,0.2400000000,2.0000000000
1.5029654000,0.3413148800,2.0000000000
1.5709308000,0.4426297600,2.0000000000
1.5960000000,0.4800000000,2.0000000000
1.4600692000,0.6826297600,2.0000000000
1.5155000000,0.6000000000,2.0000000000
1.5709308000,0.5173702400,2.0000000000
0.6550692000,-0.5173702400,2.0000000000
0.7105000000,-0.6000000000,2.0000000000
0.7659308000,-0.6826297600,2.0000000000
0.6550692000,0.5173702400,2.0000000000
0.7105000000,0.6000000000,2.0000000000
0.7659308000,0.6826297600,2.0000000000
0.7910000000,0.7200000000,2.0000000000
0.5140000000,0.7200000000,2.0000000000
0.6300000000,0.7200000000,2.0000000000
0.7460000000,0.7200000000,2.0000000000
1.4600692000,-0.6826297600,2.0000000000
1.5155000000,-0.6000000000,2.0000000000
1.5709308000,-0.5173702400,2.0000000000
1.5960000000,-0.4800000000,2.0000000000
1.2990692000,-0.0373702400,2.0000000000
1.3670346000,-0.1386851200,2.0000000000
1.4350000000,-0.2400000000,2.0000000000
1.5029654000,-0.3413148800,2.0000000000
1.5709308000,-0.4426297600,2.0000000000
1.1380692000,0.2026297600,2.0000000000
1.1935000000,0.1200000000,2.0000000000
1.2489308000,0.0373702400,2.0000000000
0.9770692000,0.4426297600,2.0000000000
1.0325000000,0.3600000000,2.0000000000
