letter,x,y
3.0000000000,-4.9947824962,0.5056152596
3.0000000000,-4.9497824960,0.5056152596
3.0000000000,-4.8458415187,0.5056152596
3.0000000000,-4.7419005413,0.5056152596
3.0000000000,-4.6969005412,0.5056152596
3.0000000000,-4.9782334994,0.4769515550
3.0000000000,-4.9616845004,0.4482878503
3.0000000000,-5.0388070345,0.2573802971
3.0000000000,-5.0200727283,0.2898290659
3.0000000000,-5.0013384222,0.3222778370
3.0000000000,-4.9826041160,0.3547266058
3.0000000000,-4.9638698099,0.3871753768
3.0000000000,-5.1381010195,0.2573802971
3.0000000000,-5.1156010183,0.2963514395
3.0000000000,-5.0664417579,0.3814977784
3.0000000000,-5.0172824974,0.4666441172
3.0000000000,-5.1690608479,-0.0000000003
3.0000000000,-5.2578905220,-0.5895112237
3.0000000000,-5.2389790505,-0.4640067228
3.0000000000,-5.2200675813,-0.3385022219
3.0000000000,-5.2011561121,-0.2129977210
3.0000000000,-5.1822446406,-0.0874932201
3.0000000000,-5.0425152000,0.7200000000
3.0000000000,-4.9975151998,0.7200000000
3.0000000000,-4.8846143124,0.7200000000
3.0000000000,-4.7717134227,0.7200000000
3.0000000000,-4.6588125330,0.7200000000
3.0000000000,-4.5459116455,0.7200000000
3.0000000000,-5.8017525972,-0.5950377441
3.0000000000,-5.7347764687,-0.4790316878
3.0000000000,-5.6678003424,-0.3630256337
3.0000000000,-5.6008242161,-0.2470195796
3.0000000000,-5.5338480875,-0.1310135255
3.0000000000,-5.4668719612,-0.0150074714
3.0000000000,-5.3998958349,0.1009985849
3.0000000000,-5.3329197086,0.2170046390
3.0000000000,-5.2659435801,0.3330106931
3.0000000000,-5.1989674538,0.4490167471
3.0000000000,-5.1319913275,0.5650228012
3.0000000000,-5.0650151989,0.6810288576
3.0000000000,-4.6873275923,0.4626197026
3.0000000000,-4.6742903123,0.4040645931
3.0000000000,-4.7003482269,0.3589309636
3.0000000000,-4.6873192696,0.3814977784
3.0000000000,-4.8402190645,0.2573802971
3.0000000000,-4.8052513562,0.2827679637
3.0000000000,-4.7702836457,0.3081556303
3.0000000000,-4.7353159374,0.3335432970
3.0000000000,-4.9990894405,0.2573802971
3.0000000000,-4.9593718465,0.2573802971
3.0000000000,-4.9196542525,0.2573802971
3.0000000000,-4.8799366585,0.2573802971
3.0000000000,-5.1050030238,0.2573802971
3.0000000000,-5.0719050303,0.2573802971
4.0000000000,-4.1407682139,-0.7200000005
4.0000000000,-4.1182682127,-0.6810288581
4.0000000000,-4.0788806697,-0.6128076303
